,Date,Time,Level,Salinity
IN02,1/3/2020,1:00,-1.81,5.95
IN02,2/3/2020,0:00,-1.83,6.09
IN02,3/3/2020,0:00,-11.85,6
IN02,4/3/2020,0:00,-1.88,5.77
IN02,5/3/2020,0:00,-2.01,5.58
IN02,6/3/2020,0:00,-2.09,5.63
IN02,7/3/2020,0:00,-2.06,5.06
IN02,8/3/2020,0:00,-2.09,5.11
IN02,9/3/2020,0:00,-2.05,5.11
IN02,10/3/2020,12:00,-1.98,5.58
IN02,11/3/2020,0:00,-1.9,5.39
IN02,12/3/2020,0:00,-1.85,5.16
IN02,13/3/2020,0:00,-1.81,5.44
IN02,14/3/2020,0:00,-1.81,5.02
IN02,15/3/2020,0:00,-1.8,5.72
IN02,16/3/2020,0:00,-1.79,6.89
IN02,17/3/2020,0:00,-1.92,7.41
IN02,18/3/2020,0:00,-1.91,6.61
IN02,19/3/2020,13:00,-2.33,6.56
IN02,20/3/2020,0:00,-2.07,5.91
